Tag,popular_index,count,ratio(%)
설렘폭발,220,7,0.5015502462155754
왕족/귀족,216,3,0.49243115082983774
중세판타지액션,209,3,0.47647273390479666
치명적인,208,4,0.47419296005836226
동양풍판타지,207,2,0.47191318621192774
서바이벌,206,3,0.46963341236549333
동물,202,4,0.4605143169797556
전쟁,197,2,0.4491154477475835
힘숨찐,191,2,0.43543680466897683
빙의,189,3,0.430877256976108
게임판타지,187,2,0.4263177092832391
연하남,185,2,0.4217581615903702
오피스,183,3,0.41719861389750135
환생,183,3,0.41719861389750135
판타지개그,181,4,0.4126390662046325
나쁜남자,179,4,0.40807951851176366
차원이동,178,2,0.40579974466532925
느와르,177,4,0.40351997081889474
공감성수치,176,2,0.40124019697246033
결혼생활,175,3,0.3989604231260259
성인웹툰,171,2,0.3898413277402882
독자PICK,170,4,0.3875615538938537
헌터물,169,2,0.3852817800474193
열혈,167,3,0.38072223235455044
아포칼립스,167,3,0.38072223235455044
절망적인,166,2,0.378442458508116
SF,165,3,0.37616268466168157
액션아포칼립스,165,2,0.37616268466168157
계략남,164,2,0.3738829108152471
아이돌,163,2,0.3716031369688127
이세계,158,3,0.36020426773664055
최강자전,155,2,0.3533649461973372
짐승남,153,3,0.34880539850446834
이능력배틀물,147,2,0.33512675542586173
2025 지상최대공모전,138,2,0.31460879080795184
외유내강녀,138,3,0.31460879080795184
공포,136,3,0.310049243115083
마법,136,3,0.310049243115083
미스터리,134,3,0.3054896954222141
성장드라마,133,3,0.3032099215757797
능글남,133,2,0.3032099215757797
순진녀,130,2,0.29637060003647636
2024 지상최대공모전,126,3,0.2872515046507386
대형견남,125,3,0.2849717308043042
무해한,125,2,0.2849717308043042
무심남,123,3,0.28041218311143534
뱀파이어,120,2,0.27357286157213206
다크판타지,119,2,0.2712930877256976
직업드라마,115,2,0.26217399233995986
시대물,113,2,0.257614444647091
2025 연재직행열차,112,2,0.2553346708006566
타임슬립,111,2,0.2530548969542221
명작,110,1,0.2507751231077877
판무,110,1,0.2507751231077877
정통무협,109,1,0.24849534926135328
헌신남,108,1,0.24621557541491887
유혹남,108,1,0.24621557541491887
격투기,105,1,0.23937625387561554
2018 최강자전,104,1,0.23709648002918113
유혹녀,103,1,0.23481670618274667
캠퍼스,102,2,0.23253693233631223
소심녀,101,1,0.2302571584898778
아방녀,101,1,0.2302571584898778
레트로,98,2,0.2234178369505745
감성드라마,97,3,0.22113806310414008
사연남,96,2,0.21885828925770562
혐관,94,2,0.21429874156483675
평범녀,93,1,0.21201896771840234
참교육,93,2,0.21201896771840234
중년,92,1,0.20973919387196788
사회고발,91,1,0.20745942002553347
과거,91,2,0.20745942002553347
빌런,91,1,0.20745942002553347
학원로맨스,90,6,0.20517964617909903
정치,90,1,0.20517964617909903
고자극스릴러,89,2,0.20289987233266463
사천당가,86,1,0.1960605507933613
로맨스릴러,85,1,0.19378077694692686
블루스트링,84,1,0.19150100310049242
드라마&영화 원작웹툰,84,1,0.19150100310049242
바디 호러,83,1,0.189221229254058
비쥬얼쇼크,83,1,0.189221229254058
학원액션,82,3,0.18694145540762355
피카레스크,80,1,0.1823819077147547
순애남,77,1,0.1755425861754514
옴니버스,75,1,0.17098303848258253
첫사랑,72,2,0.16414371694327923
두뇌싸움,72,2,0.16414371694327923
러블리,70,1,0.15958416925041036
순정남,69,2,0.15730439540397592
밀리터리,69,1,0.15730439540397592
2024 최강자전,67,1,0.15274484771110705
야구,64,1,0.14590552617180375
괴담,61,2,0.13906620463250047
연예계,60,1,0.13678643078606603
